140	axe	balta	Be careful with that sharp axe	words_20200319	<img src="axe2.jpg"> <br> 	[sound:axe.mp3]
141	sob	hıçkırmak	He started to sob uncontrollably	words_20200319	<img src="to_raise.jpg"> <br> 	[sound:sob.mp3]
142	to raise	büyütmek (çocuk), yetiştirmek	I know more about raising pigs than you do.	words_20200319	<img src="to_raise2.jpg"> <br> 	[sound:to_raise.mp3]
143	injustice	adaletsizlik, haksızlık	He felt angry at the injustice of the situation.	words_20200319	<img src="injustice2.jpg"> <br> 	[sound:injustice.mp3]
144	to approach	yaklaşmak, yakınlaşmak	He didn't approach the front door at once.	words_20200319	<img src="to_approach.jpg"> <br> 	[sound:to_approach.mp3]
145	unfair	adaletsiz, haksız	They had been given an unfair advantage	words_20200319	<img src="injustice2.jpg"> <br> 	[sound:unfair.mp3]
146	to persuade	ikna etmek (to convince)	I couldn't persuade him that she was a liar	words_20200319	<img src="to_persuade2.jpg"> <br> 	[sound:to_persuade.mp3]
147	to lift	kaldırmak	I can't lift this box — will you help me please?	words_20200319	<img src="to_lift2.jpg"> <br> 	[sound:to_lift.mp3]
148	promptly	acilen, hemen	When he called me a thief I promptly hit him	words_20200319	<img src="promptly2.jpg"> <br> 	[sound:promptly.mp3]
149	to pour	dökmek	Don't pour hot water into the glass or it will crack	words_20200319	<img src="to_pour.jpg"> <br> 	[sound:to_pour.mp3]
150	infant	bebek, çocuk (baby)	Erik starts infant school in September	words_20200319	<img src="infant2.jpg"> <br> 	[sound:infant.mp3]
151	to suck	emmek	Bees suck honey from flowers	words_20200319	<img src="to_suck2.jpg"> <br> 	[sound:to_suck.mp3]
152	appetite	iştah	All that walking has given me an appetite for dinner	words_20200319	<img src="appetite2.jpg"> <br> 	[sound:appetite.mp3]
153	to stare	bakmak (to look)	Stop trying to stare me	words_20200319	<img src="to_stare2.jpg"> <br> 	[sound:to_stare.mp3]
154	to grab	tutmak, eliyle kavramak	I managed to grab her hand	words_20200319	<img src="to_grab2.jpg"> <br> 	[sound:to_grab.mp3]
155	dreamily	hayali olarak	He gazed dreamily out of the window	words_20200319	<img src="dreamily2.jpg"> <br> 	[sound:dreamily.mp3]
156	to giggle	kıkır kıkır gülmek	She gave a little girlish giggle	words_20200319	<img src="to_giggle2.jpg"> <br> 	[sound:to_giggle.mp3]
157	to blush	utançtan yüzü kızarmak	I always blush when I speak in public	words_20200319	<img src="to_blush2.jpg"> <br> 	[sound:to_blush.mp3]
158	to stroke	okşamak	Stroke the dog if you like, it won't bite	words_20200319	<img src="to_stroke2.jpg"> <br> 	[sound:to_stroke.mp3]
159	to feed	beslemek	The baby can't feed itself yet	words_20200319	<img src="to_feed2.jpg"> <br> 	[sound:to_feed.mp3]
160	to gaze	dik dik bakmak	He kept his gaze fixed on the car ahead	words_20200319	<img src="to_gaze2.jpg"> <br> 	[sound:to_gaze.mp3]
161	to adore	hayran olmak, çok sevmek	Let us adore God for all his works	words_20200319	<img src="to_adore2.jpg"> <br> 	[sound:to_adore.mp3]
162	adoring	sevgi dolu (loving)	He waved to the adoring crowds	words_20200319	<img src="to_adore2.jpg"> <br> 	[sound:adoring.mp3]
163	to complain	şikayet etmek	Don't complain and do as you are told	words_20200319	<img src="to_complain.jpg"> <br> 	[sound:to_complain.mp3]
164	sleepily	uykulu	She answered the telephone rather sleepily	words_20200319	<img src="to_sleep.jpg"> <br> 	[sound:sleepily.mp3]
165	enchanted	büyülü	The witch enchanted the princess with magic words	words_20200319	<img src="enchanted2.jpg"> <br> 	[sound:enchanted.mp3]
166	to vanish	ortadan kaybolmak (to disappear)	All your troubles will vanish away when he returns safely	words_20200319	<img src="to_disappear.jpg"> <br> 	[sound:to_vanish.mp3]
167	to amuse	eğlendirmek (to be funny)	Tom makes up stories to amuse his little brother	words_20200319	<img src="to_amuse2.jpg"> <br> 	[sound:to_amuse.mp3]
168	to weep	ağlamak (to cry)	She wanted to laugh and weep all at once	words_20200319	<img src="to_weep2.jpg"> <br> 	[sound:to_weep.mp3]
