note_id	english	turkish	image	example_en
240	peaceful	huzurlu	peaceful2.jpg	he was sleeping peacefully
241	to trust	güvenmek	to_trust.jpg	The sheep soon got to know her and trust her
242	lonely	yalnız	lonely2.jpg	Wilbur stood in the sun feeling lonely and bored
243	still	sessiz, sakin	still2.jpg	he was tired of standing still
244	loose	gevşek, bol	loose2.jpg	One of the boards is loose
245	queer	tuhaf, acayip	queer2.jpg	Mrs. Arable looked at her daughter with a queer, worried look
246	to notice	fark etmek	to_notice.jpg	Charlotte noticed his embarrassment
247	to complain	şikayet etmek	to_complain.jpg	Mr. and Mrs. Zuckerman were always complaining about them
248	racket	şamata, curcuna	racket2.jpg	"Please, please, please, please, please, please ..." They made quite a racket.
249	to tie	bağlamak	to_tie.jpg	Avery had a balloon tied to his ear.
250	pail	kova	pail2.jpg	the crowd was carrying a pail of water
251	trick	hile	trick2.jpg	It's the old pail trick, Wilbur. Don't fall for it
252	to order	emretmek	to_order.jpg	"Take that frog out!" ordered Fern.
253	slops	pis su	slops2.jpg	The slops ran creamily down around the pig's eyes and ears
254	relieved	rahatlamış	relieved2.jpg	She felt greatly relieved
255	appetizing	iştah açıcı	appetizing2.jpg	Is this appetizing yarn of yours true?
256	to lure	yemlemek, cezbetmek, çekmek, ayartmak	to_lure.jpg	He's trying to lure you back into captivityivity
257	to fall for	kanmak	to_fall_for.jpg	It's the old pail trick, Wilbur. Don't fall for it, don't fall for it!
258	tiring	yorucu	tiring2.jpg	This had been a tiring afternoon
259	to scratch	karalamak, kaşımak, tırmalamak	to_scratch.jpg	He lets me scratch him between the eyes
260	to lie	yatmak	to_lie.jpg	It was always delightfully soft to lie in
261	to upset	üzmek	to_upset.jpg	Rain upset Wilbur's plans
262	nap	uyku, gündüz uykusu	nap2.jpg	Wilbur planned to take a nap outdoors in the sun
263	to dig	toprağı kazmak	to_dig.jpg	From nine to eleven he planned to dig a hole
264	itchy	kaşıntılı, kaşınan	itchy2.jpg	he planned to scratch itchy places by rubbing against the fence.
265	to bear	dayanmak, katlanmak	to_bear.jpg	He couldn't bear to watch any more
266	gloomily	kasvetli, hüzünlü	gloomily2.jpg	For a while he stood gloomily indoors
267	trough	yalak	trough2.jpg	His trough had an inch of rainwater in it.
268	friendless	arkadaşsız	friendless2.jpg	Suddenly Wilbur felt lonely and friendless.
269	to humiliate	aşağılamak, küçük düşürmek	to_humiliate.jpg	
270	to gnaw	kemirmek	to_gnaw.jpg	partially gnawed ice cream cones
271	to spy	casusluk yapmak	to_spy.jpg	I prefer to spend my time eating, gnawing, spying, and hiding.
272	crafty	kurnaz	crafty2.jpg	Templeton was a crafty rat
273	cunning	kurnazlık	cunning2.jpg	The tunnel was an example of his skill and cunning
274	dejected	keyifsiz, hüzünlü	dejected2.jpg	Friendless, dejected, and hungry, he threw himself down in the manure and sobbed
275	to endure	katlanmak, tahammül etmek	to_bear.jpg	He endured five years as a prisoner of war
276	to pester	rahatsız etmek	to_pester.jpg	Flies spent their time pestering others.
277	victim	kurban	victim2.jpg	she always put her victim to sleep before eating it.
278	thoughtful	düşünceli	thoughtful2.jpg	It's real thoughtful of you to do that, Charlotte
279	to gain	kazanmak, kilo almak	to_gain.jpg	he gained a lot of weight
280	to spread	yaymak	to_spread.jpg	I don't like to spread bad news
281	to sob	hıçkırarak ağlamak	to_sob.jpg	"Mr. Arable?" sobbed Wilbur.
282	to burst	patlamak, serilmek	to_burst.jpg	Wilbur burst into tears
283	queerly	tuhafça, garipçe	queer2.jpg	I want him to know how queerly she is acting about that pig
284	thoughtfully	düşünceli bir şekilde	thoughtful2.jpg	"Springtime," said the old sheep, thoughtfully.
285	to stare	dik dik bakmak	to_stare.jpg	He stepped closer and stared
286	to chuckle	kıkırdayarak gülmek	to_chuckle.jpg	The goose chuckled.
287	imagination	hayal gücü	imagination2.jpg	she's just got a lively imagination.
288	to grin	sırıtmak	to_grin.jpg	Mr. Arable grinned
